bloque,cadena,hash,zeros,intentos
angelc3BEOjjM32,9,44976689b9e3039aca9d2844c29c57b80a5831889182bcee1deea0a43dc801dc,1,2
angel44976689b9e3039aca9d2844c29c57b80a5831889182bcee1deea0a43dc801dc,5,573104619e3f7f1729e4e1bdcf5190c310e2f201c320ba3d947ccf265f8c9313,1,2
angel573104619e3f7f1729e4e1bdcf5190c310e2f201c320ba3d947ccf265f8c9313,5,5e9de00d5fbeee7ba3295acd7a768320acc9c6b3ea86a7c035c52185e76dbe33,1,2
angel5e9de00d5fbeee7ba3295acd7a768320acc9c6b3ea86a7c035c52185e76dbe33,9,79ab4002bc92aa8b126de4fa6bbd126984966f6828bea8f517ed07a82312f9fe,1,1
angel79ab4002bc92aa8b126de4fa6bbd126984966f6828bea8f517ed07a82312f9fe,2,480fac2b36d42389d74810fa24ce898c8305377f85c0dad748cd2bafcd9424b5,1,2
angel480fac2b36d42389d74810fa24ce898c8305377f85c0dad748cd2bafcd9424b5,9,7410adaa2186eba01a8a47433e1a2d35573133dab0d090b4de1f4fd42729ffdf,1,2
angel7410adaa2186eba01a8a47433e1a2d35573133dab0d090b4de1f4fd42729ffdf,9,02a6d2ac9f704f3adb9335a8f0f62b407cf38b9e65d2f320822a7149aabcef12,1,2
angel02a6d2ac9f704f3adb9335a8f0f62b407cf38b9e65d2f320822a7149aabcef12,10,385438d87aca42805cd41f2635f90418cd5b4176ce5a59ce1092b5805c731964,1,6
angel385438d87aca42805cd41f2635f90418cd5b4176ce5a59ce1092b5805c731964,7,2419033c5e36fad7f763dc6807e9c08fe220154017b133e76e67d7a1f1431f44,1,1
angel2419033c5e36fad7f763dc6807e9c08fe220154017b133e76e67d7a1f1431f44,0,06f8fd967168da410e9470faf5c0d04f5f861662da6ecfeed63d04717f03cec5,1,1
angel06f8fd967168da410e9470faf5c0d04f5f861662da6ecfeed63d04717f03cec5,0,1505b6685a79bc53714f48e52ca5bf63bfe3bddf12ec238c261168564800dd3e,2,1
angel1505b6685a79bc53714f48e52ca5bf63bfe3bddf12ec238c261168564800dd3e,3,09f0909d9c578e168af8f3aec042b7618ac04f1546a2ed84cfc2b8859f9fff61,2,4
angel09f0909d9c578e168af8f3aec042b7618ac04f1546a2ed84cfc2b8859f9fff61,16,1bec81cee68933a67ab051f44f2ca7c1780f688b90a503b81aa6d07e84414899,2,8
angel1bec81cee68933a67ab051f44f2ca7c1780f688b90a503b81aa6d07e84414899,3,1cfcb236f5a99532832ab5991341239d7b56c3d2ca4cf14690823eab94768048,2,2
angel1cfcb236f5a99532832ab5991341239d7b56c3d2ca4cf14690823eab94768048,2,29f4f2bf1b3f8b62fc41daf2a24acdb7ad1b743063195ce274b1f21d0f97dac6,2,1
angel29f4f2bf1b3f8b62fc41daf2a24acdb7ad1b743063195ce274b1f21d0f97dac6,6,09217c0df7035172293f122f5e58e35153e442a1ec7f4e2067139731edabe4d9,2,1
angel09217c0df7035172293f122f5e58e35153e442a1ec7f4e2067139731edabe4d9,19,096a47e8576a6779a11a8db23fdddadbee9c866fa07c2dbe9a23ee3b2835fe48,2,15
angel096a47e8576a6779a11a8db23fdddadbee9c866fa07c2dbe9a23ee3b2835fe48,5,033394f0326d54f42a654de8ea2a084635e4161090c70208e928042d52ee7e28,2,1
angel033394f0326d54f42a654de8ea2a084635e4161090c70208e928042d52ee7e28,5,30972e9d9c802779dfadf8a1ccee637fea21bd1c61bd3eb9d4999815ae06d825,2,3
angel30972e9d9c802779dfadf8a1ccee637fea21bd1c61bd3eb9d4999815ae06d825,10,2c00f6d59dc3f874d61be24cecb97aba191050261a0737d40c6a13e6c286d464,2,4
angel2c00f6d59dc3f874d61be24cecb97aba191050261a0737d40c6a13e6c286d464,6,0f800c6ef677d1f10b50e9a40c20d346278d8522a8be6b3f8c0a664141d14e6d,3,2
